,[Measurement,Info,Unnamed: 2,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
196,19:14:16,40.008183,116.477874,-62.16938775510203,-93.71199999999999,-99.36199999999997,-98.90299999999999,-108.31800000000001,-115.546,-116.03400000000005,-116.023,-117.33200000000002,-116.49469387755106
197,19:14:16,40.008182,116.47787,-61.07346938775512,-94.66599999999997,-98.892,-100.751,-103.476,-115.37300000000003,-116.57800000000005,-117.30499999999998,-117.41199999999999,-115.82173469387752
198,19:14:16,40.008182,116.477865,-63.153061224489804,-95.275,-98.40700000000001,-101.41500000000002,-101.141,-113.87999999999998,-115.54400000000004,-116.25400000000003,-114.92299999999999,-113.27353061224485
200,19:14:16,40.00818,116.477861,-62.887755102040835,-96.43299999999999,-97.37599999999996,-100.34299999999999,-100.273,-113.443,-115.97000000000004,-114.78299999999999,-113.57900000000001,-112.4998775510204
201,19:14:17,40.008178,116.477858,-62.936734693877526,-96.49399999999996,-97.27899999999995,-96.59399999999998,-100.57300000000004,-114.86800000000002,-115.54499999999994,-115.81600000000005,-114.09000000000006,-108.59636734693875
203,19:14:18,40.008166,116.477845,-62.61632653061227,-95.766,-100.13399999999997,-99.178,-101.93400000000001,-115.10300000000002,-116.76800000000003,-117.94400000000002,-112.09200000000001,-107.55816326530606
204,19:14:19,40.008161,116.47784,-78.77346938775509,-94.631,-97.79299999999999,-99.49999999999999,-98.575,-116.59900000000002,-117.28,-107.18899999999996,-117.17999999999998,-111.29973469387757
205,19:14:19,40.008157,116.477836,-63.25102040816324,-93.21800000000002,-96.973,-96.12299999999998,-99.49000000000002,-114.20699999999995,-115.835,-116.01800000000004,-114.335,-110.44851020408163
207,19:14:19,40.008154,116.477833,-67.46734693877548,-96.76800000000001,-92.711,-94.04699999999995,-93.04700000000001,-112.64099999999996,-114.79100000000004,-115.64099999999999,-113.92300000000004,-110.18367346938777
208,19:14:20,40.008152,116.477832,-67.02755102040818,-96.54999999999997,-95.84400000000005,-93.738,-101.555,-112.756,-114.19499999999998,-117.08999999999996,-116.25100000000003,-117.59727551020406
209,19:14:20,40.008151,116.477832,-79.71632653061224,-95.76699999999994,-96.88499999999998,-94.675,-99.51099999999995,-114.95999999999992,-115.90999999999997,-114.82499999999996,-117.85699999999999,-115.58816326530614
210,19:14:20,40.00815,116.477831,-80.15102040816326,-97.06699999999996,-98.723,-94.53599999999999,-98.51200000000003,-115.18199999999996,-116.47499999999997,-115.22200000000002,-117.505,-116.47251020408162
211,19:14:21,40.008149,116.47783,-87.47346938775506,-97.45300000000005,-97.02100000000002,-96.20200000000001,-96.10800000000003,-113.26799999999999,-115.54399999999998,-114.25399999999999,-111.75200000000001,-115.96973469387754
212,19:14:21,40.008148,116.47783,-85.63469387755099,-98.16399999999996,-98.85700000000001,-94.92400000000002,-94.04299999999995,-114.50599999999999,-115.40100000000002,-114.49200000000002,-112.44500000000002,-116.48134693877553
214,19:14:21,40.008147,116.477829,-86.88163265306125,-97.24399999999997,-99.06400000000002,-92.3,-96.066,-115.26900000000002,-115.83400000000005,-115.24299999999994,-109.20999999999998,-113.97981632653065
215,19:14:22,40.008147,116.477828,-80.36632653061224,-96.21699999999998,-99.76100000000001,-94.60899999999998,-95.48700000000007,-115.689,-116.28500000000003,-115.097,-109.87,-112.26066326530614
216,19:14:22,40.008146,116.477827,-76.48775510204081,-98.37499999999999,-101.11199999999997,-92.63599999999997,-95.09899999999999,-115.105,-116.41899999999998,-114.39400000000002,-110.16099999999993,-111.04087755102033
217,19:14:22,40.008146,116.477826,-78.96530612244901,-97.48699999999995,-99.19799999999998,-94.98299999999998,-95.03299999999999,-115.69500000000002,-116.29999999999998,-115.44299999999994,-110.45900000000005,-111.3956530612245
219,19:14:23,40.008146,116.477825,-78.39387755102042,-96.73599999999995,-99.23700000000002,-94.37899999999999,-94.38999999999996,-116.061,-116.766,-115.89800000000007,-110.88100000000003,-111.53093877551011
221,19:14:24,40.008145,116.477822,-67.51836734693875,-81.21300000000001,-86.51500000000001,-89.40999999999998,-81.91299999999997,-115.79900000000002,-116.92300000000003,-118.49799999999998,-118.16000000000003,-115.69918367346936
222,19:14:24,40.008145,116.477821,-67.01836734693877,-87.48,-87.91000000000003,-86.82799999999999,-93.66900000000001,-117.30899999999998,-118.71499999999995,-117.81599999999997,-118.506,-114.60218367346937
